"","Date","Name","QC_Flag","QA_Flag","Reservoir_Capacity_ac_ft","Reservoir_Storage_Volume_Previous_Year_ac_ft","Reservoir_Storage_Volume_ac_ft","Median_Reservoir_Storage_Volume_1981_2010_ac_ft","Source"
"194","2022-12-01","Grantsville Reservoir",NA,"",3300,1564,968,1000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"195","2022-12-01","Gunlock",NA,"",10400,4322,3809,5600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"196","2022-12-01","Gunnison Reservoir",NA,"",20300,0,0,1050,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"197","2022-12-01","Huntington North Reservoir",NA,"U",4200,1730,2650,1710,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"198","2022-12-01","Hyrum Reservoir",NA,"U",15300,6480,9071,9200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"199","2022-12-01","Joes Valley Reservoir",NA,"U",61600,21488,29952,39300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"200","2022-12-01","Jordanelle Reservoir",NA,"U",314000,160184,188225,232600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"201","2022-12-01","Ken's Lake",NA,"",2300,854,1612,730,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"202","2022-12-01","Lake Powell",NA,"U",24322000,7015587,5720325,14221000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"203","2022-12-01","Lost Creek Reservoir",NA,"U",22500,9201,8990,13000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"204","2022-12-01","Lower Enterprise",NA,"",2600,895,220,400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"205","2022-12-01","Miller Flat Reservoir",NA,"",5200,1419,1192,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"206","2022-12-01","Millsite",NA,"",16700,3789,7397,8500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"207","2022-12-01","Minersville Reservoir",NA,"",23300,2607,2518,5700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"208","2022-12-01","Moon Lake Reservoir",NA,"U",35800,18690,20999,16100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
